player,position,salary,millions,team,origsort
Alex Rodriguez,DNP,"$29,000,000.00",29.00,NYA,324
Mark Teixeira,DNP,"$23,125,000.00",23.13,NYA,325
CC Sabathia,SP,"$23,000,000.00",23.00,NYA,326
Derek Jeter,DNP,"$17,000,000.00",17.00,NYA,327
Hiroki Kuroda,SP,"$15,000,000.00",15.00,NYA,328
Curtis Granderson,DNP,"$15,000,000.00",15.00,NYA,329
Robinson Cano,2B,"$15,000,000.00",15.00,NYA,330
Kevin Youkilis,3B,"$12,000,000.00",12.00,NYA,331
Andy Pettitte,SP,"$12,000,000.00",12.00,NYA,332
Vernon Wells,LF,"$11,500,000.00",11.50,NYA,333
Mariano Rivera,RP,"$10,000,000.00",10.00,NYA,334
Phil Hughes,SP,"$7,150,000.00",7.15,NYA,335
Ichiro Suzuki,RF,"$6,500,000.00",6.50,NYA,336
Boone Logan,RP,"$3,150,000.00",3.15,NYA,337
David Robertson,RP,"$3,100,000.00",3.10,NYA,338
Brett Gardner,CF,"$2,850,000.00",2.85,NYA,339
Travis Hafner,DH,"$2,000,000.00",2.00,NYA,340
Joba Chamberlain,RP,"$1,875,000.00",1.88,NYA,341
Brennan Boesch,RF,"$1,500,000.00",1.50,NYA,342
Lyle Overbay,1B,"$1,250,000.00",1.25,NYA,343
Ben Francisco,DH,"$1,100,000.00",1.10,NYA,344
Shawn Kelley,RP,"$935,000.00",0.94,NYA,345
Jayson Nix,3B,"$900,000.00",0.90,NYA,346
Ivan Nova,SP,"$575,600.00",0.58,NYA,347
Eduardo Nunez,SS,"$533,300.00",0.53,NYA,348
Michael Pineda,DNP,"$528,475.00",0.53,NYA,349
Francisco Cervelli,C,"$515,350.00",0.52,NYA,350
Chris Stewart,C,"$515,100.00",0.52,NYA,351
David Phelps,RP,"$512,425.00",0.51,NYA,352
Cody Eppley,RP,"$510,350.00",0.51,NYA,353
Adam Warren,RP,"$490,525.00",0.49,NYA,354
Cesar Cabral,DNP,"$490,000.00",0.49,NYA,355
,,,,,
,,,,,
,,"$219,606,125.00",,,
,,"$6,862,691.41",,,
