State,  Avg Speed (KBps)         ,How many seconds it would be to download a 3000 Kilobyte Music File,id,
 RI     , 894 ,3.36,RI,"#election .RI,"
 NJ     , 851 ,3.52,NJ,"#election .NJ,"
 MA     , 851 ,3.53,MA,"#election .MA,"
 DE     , 841 ,3.57,DE,"#election .DE,"
 MD     , 805 ,3.73,MD,"#election .MD,"
 DC     , 759 ,3.95,DC,"#election .DC,"
 NY     , 722 ,4.16,NY,"#election .NY,"
 CT     , 711 ,4.22,CT,"#election .CT,"
 PA     , 689 ,4.36,PA,"#election .PA,"
 VA     , 675 ,4.45,VA,"#election .VA,"
 WA     , 668 ,4.49,WA,"#election .WA,"
 NH     , 630 ,4.76,NH,"#election .NH,"
 FL     , 601 ,4.99,FL,"#election .FL,"
 CA     , 567 ,5.29,CA,"#election .CA,"
 UT     , 567 ,5.29,UT,"#election .UT,"
 OR     , 533 ,5.63,OR,"#election .OR,"
 TN     , 528 ,5.69,TN,"#election .TN,"
 LA     , 517 ,5.80,LA,"#election .LA,"
 IL     , 511 ,5.87,IL,"#election .IL,"
 VT     , 507 ,5.92,VT,"#election .VT,"
 SD     , 506 ,5.92,SD,"#election .SD,"
 GA     , 500 ,6.00,GA,"#election .GA,"
 MN     , 498 ,6.02,MN,"#election .MN,"
 MI     , 497 ,6.04,MI,"#election .MI,"
 SC     , 496 ,6.05,SC,"#election .SC,"
 ME     , 496 ,6.05,ME,"#election .ME,"
 NC     , 495 ,6.06,NC,"#election .NC,"
 IN     , 489 ,6.14,IN,"#election .IN,"
 ND     , 488 ,6.14,ND,"#election .ND,"
 WI     , 480 ,6.25,WI,"#election .WI,"
 CO     , 474 ,6.33,CO,"#election .CO,"
 AL     , 469 ,6.39,AL,"#election .AL,"
 AZ     , 467 ,6.42,AZ,"#election .AZ,"
 OH     , 451 ,6.65,OH,"#election .OH,"
 NV     , 449 ,6.68,NV,"#election .NV,"
 WV     , 447 ,6.70,WV,"#election .WV,"
 TX     , 435 ,6.90,TX,"#election .TX,"
 HI     , 432 ,6.95,HI,"#election .HI,"
 MS     , 426 ,7.03,MS,"#election .MS,"
 KY     , 413 ,7.27,KY,"#election .KY,"
 KS     , 411 ,7.29,KS,"#election .KS,"
 MO     , 408 ,7.36,MO,"#election .MO,"
 AK     , 402 ,7.46,AK,"#election .AK,"
 NE     , 401 ,7.48,NE,"#election .NE,"
 AR     , 393 ,7.62,AR,"#election .AR,"
 IA     , 387 ,7.74,IA,"#election .IA,"
 OK     , 376 ,7.98,OK,"#election .OK,"
 NM     , 370 ,8.10,NM,"#election .NM,"
 MT     , 352 ,8.53,MT,"#election .MT,"
 WY     , 346 ,8.66,WY,"#election .WY,"
 ID     , 318 ,9.42,ID,"#election .ID,"
